"","X_id","category"
"837","P142","OBSGYN"
"838","P143","OBSGYN"
"839","P148","OBSGYN"
"840","P149","OBSGYN"
"841","P15","OBSGYN"
"842","P150","OBSGYN"
"843","P151","OBSGYN"
"844","P152","OBSGYN"
"845","P153","OBSGYN"
"846","P154","OBSGYN"
"847","P155","OBSGYN"
"848","P156","OBSGYN"
"849","P158","OBSGYN"
"850","P159","OBSGYN"
"851","P20","OBSGYN"
"852","P200","OBSGYN"
"853","P201","OBSGYN"
"854","P209","OBSGYN"
"855","P21","OBSGYN"
"856","P210","OBSGYN"
"857","P211","OBSGYN"
"858","P219","OBSGYN"
"859","P22","OBSGYN"
"860","P220","OBSGYN"
"861","P221","OBSGYN"
"862","P228","OBSGYN"
"863","P229","OBSGYN"
"864","P23","OBSGYN"
"865","P230","OBSGYN"
"866","P231","OBSGYN"
"867","P232","OBSGYN"
"868","P233","OBSGYN"
"869","P234","OBSGYN"
"870","P235","OBSGYN"
"871","P236","OBSGYN"
"872","P238","OBSGYN"
"873","P239","OBSGYN"
"874","P24","OBSGYN"
"875","P240","OBSGYN"
"876","P241","OBSGYN"
"877","P242","OBSGYN"
"878","P243","OBSGYN"
"879","P248","OBSGYN"
"880","P249","OBSGYN"
"881","P25","OBSGYN"
"882","P250","OBSGYN"
"883","P251","OBSGYN"
"884","P252","OBSGYN"
"885","P253","OBSGYN"
"886","P258","OBSGYN"
"887","P26","OBSGYN"
"888","P260","OBSGYN"
"889","P261","OBSGYN"
"890","P268","OBSGYN"
"891","P269","OBSGYN"
"892","P27","OBSGYN"
"893","P270","OBSGYN"
"894","P271","OBSGYN"
"895","P278","OBSGYN"
"896","P279","OBSGYN"
"897","P28","OBSGYN"
"898","P280","OBSGYN"
"899","P281","OBSGYN"
"900","P282","OBSGYN"
"901","P283","OBSGYN"
"902","P284","OBSGYN"
"903","P285","OBSGYN"
"904","P288","OBSGYN"
"905","P289","OBSGYN"
"906","P29","OBSGYN"
"907","P290","OBSGYN"
"908","P291","OBSGYN"
"909","P292","OBSGYN"
"910","P293","OBSGYN"
"911","P294","OBSGYN"
"912","P298","OBSGYN"
"913","P299","OBSGYN"
"914","P35","OBSGYN"
"915","P350","OBSGYN"
"916","P351","OBSGYN"
"917","P352","OBSGYN"
"918","P353","OBSGYN"
"919","P358","OBSGYN"
"920","P359","OBSGYN"
